,Countries,Units,2007,2008,2009,2010,2011
105,Namibia,kg,6.25,6.63,6.1,7.3,5.9
106,Nepal,kg,7.28,8.43,8.8,9.0,10
107,Netherlands,kg,15.8,16.2,14.4,15.9,14.3
108,New Zealand,kg,9.9,9.4,8.6,8.7,6.3
109,Nicaragua,kg,9.11,9.35,8.9,9.1,9.3
110,Niger,kg,4.16,4.55,4.4,4.2,4.8
111,Nigeria,kg,14.43,14.23,11.5,11.6,11.6
112,Norway,kg,15.9,18.2,15.5,18.0,17
113,Oman,kg,10.01,9.94,9.6,10.0,10.5
114,Pakistan,kg,12.0,12.3,12.3,12.0,12
115,Panama,kg,7.64,7.91,8.9,9.8,10.5
116,Paraguay,kg,13.69,13.79,14.0,14.0,13.9
117,Peru,kg,5.2,6.4,6.4,6.5,6.7
118,Philippines,kg,4.7,4.4,4.9,5.0,5.4
119,Poland,kg,11.2,11.9,13.0,11.8,13.4
120,Portugal,kg,17.9,20.2,20.3,20.3,20.5
121,Romania,kg,13.2,12.6,12.8,14.6,13.5
122,Russia,kg,12.1,12.1,12.4,13.0,13.1
123,Rwanda,kg,2.92,2.74,4.0,3.4,3.6
124,Saudi Arabia,kg,14.51,16.08,15.9,16.3,17.5
125,Senegal,kg,13.52,16.83,16.7,17.5,17.9
126,Serbia,kg,9.2,9.7,9.7,9.2,7.1
127,Sierra Leone,kg,12.56,13.2,13.7,14.1,13.8
128,Slovakia,kg,10.7,10.7,12.0,12.3,12.3
129,Slovenia,kg,12.4,13.3,13.2,13.2,12.6
130,South Africa,kg,12.5,13.4,14.9,15.0,13.8
131,South Korea,kg,15.8,16.0,17.5,18.5,18.6
132,Spain,kg,26.8,27.9,30.0,31.0,33.3
133,Sri Lanka,kg,2.86,2.28,2.7,3.0,2.9
134,Sudan,kg,5.62,5.48,6.1,5.5,...
135,Suriname,kg,15.69,15.53,15.4,15.2,15.1
136,Swaziland,kg,5.29,4.33,4.3,5.0,5
137,Sweden,kg,16.3,16.4,16.4,16.7,16.9
138,Switzerland,kg,18.4,19.7,19.6,19.8,20.1
139,Taiwan,kg,21.69,22.04,22.7,22.3,21.7
140,Tajikistan,kg,9.7,10.0,9.8,10.1,10.6
141,Tanzania,kg,8.1,7.01,6.9,6.8,6.9
142,Thailand,kg,7.6,7.5,7.3,7.6,8.2
143,Togo,kg,7.71,8.52,8.1,9.2,9.6
144,Trinidad and Tobago,kg,11.45,9.88,9.8,10.5,9
145,Tunisia,kg,17.42,21.27,18.0,17.9,18
146,Turkey,kg,23.7,22.4,23.4,23.0,24.9
147,Turkmenistan,kg,7.2,7.7,7.8,7.9,7.6
148,Uganda,kg,7.06,8.09,7.9,8.2,8.1
149,Ukraine,kg,14.0,14.6,14.5,13.8,12.8
150,United Arab Emirates,kg,8.45,9.41,11.1,10.4,14.8
151,United Kingdom,kg,16.8,18.3,18.3,18.7,17.5
152,USA,kg,27.9,28.3,29.6,29.5,30.6
153,Uruguay,kg,9.59,9.56,9.8,8.6,8
154,Uzbekistan,kg,11.3,10.7,9.6,10.0,10.1
155,Venezuela,kg,14.9,17.1,17.7,17.0,16.9
156,Vietnam,kg,2.9,3.3,3.5,3.2,3.2
157,Yemen,kg,8.69,8.1,7.0,7.0,7.3
158,Zambia,kg,4.44,4.45,4.9,4.6,4.8
159,Zimbabwe,kg,8.94,10.49,10.5,10.5,11
160,World,kg,11.3,11.2,11.5,11.5,11.7
