,Entity,Year,Vegetable Oil,Deaths
1,Albania,2007,172.60273972602738,339.92898628267847
2,Algeria,2007,335.3424657534247,328.0785536626354
3,Angola,2007,223.15068493150685,344.0177958804548
4,Argentina,2007,360.0,220.58605916197632
5,Armenia,2007,182.46575342465752,410.7912114918932
6,Australia,2007,537.5342465753424,132.3012377177785
7,Austria,2007,542.4657534246576,182.02711135022795
9,Bahamas,2007,144.24657534246575,238.18284162503525
10,Bangladesh,2007,147.69863013698628,373.25649686505847
11,Belarus,2007,387.1232876712329,533.5044173085569
12,Belgium,2007,540.0,147.7222007107612
13,Belize,2007,135.36986301369865,205.52240805561843
14,Benin,2007,172.84931506849315,255.11024660902265
16,Bosnia and Herzegovina,2007,184.93150684931504,348.324991963952
17,Botswana,2007,231.78082191780823,242.17346366574048
18,Brazil,2007,426.57534246575347,206.55243654298803
19,Brunei,2007,323.5068493150685,224.26380980875464
20,Bulgaria,2007,374.79452054794524,512.3670656638686
21,Burkina Faso,2007,124.52054794520548,279.63334687553663
23,Cameroon,2007,202.6849315068493,296.5769094008568
25,Central African Republic,2007,300.0821917808219,453.128312956991
26,Chad,2007,94.1917808219178,291.3985930759269
27,Chile,2007,212.05479452054794,149.26503787591588
28,China,2007,199.72602739726028,271.5015418249793
29,Colombia,2007,327.20547945205476,161.4554990938617
30,Congo,2007,282.0821917808219,399.84040995176514
32,Croatia,2007,362.4657534246575,343.21510093857654
33,Cuba,2007,180.986301369863,201.63875528769023
34,Cyprus,2007,347.9178082191781,208.7955265432377
35,Denmark,2007,194.7945205479452,160.0550896812937
36,Djibouti,2007,339.5342465753425,288.1996680776545
37,Dominican Republic,2007,424.3561643835617,232.07851037678807
38,Ecuador,2007,369.8630136986301,170.57057519514962
39,Egypt,2007,138.08219178082192,532.215039831008
40,El Salvador,2007,165.2054794520548,179.88240325706994
41,Estonia,2007,207.12328767123287,385.6036770922839
43,Fiji,2007,265.8082191780822,454.6719041579216
44,Finland,2007,266.3013698630137,192.09205489885449
46,Gabon,2007,153.36986301369862,315.0598535428261
47,Gambia,2007,403.15068493150693,342.24600263753143
48,Georgia,2007,177.53424657534248,476.826092185462
49,Germany,2007,451.2328767123288,176.24897379016062
50,Ghana,2007,194.7945205479452,332.9920611606069
52,Guatemala,2007,216.0,159.62898772114966
53,Guinea,2007,341.013698630137,331.37620320795975
54,Guyana,2007,96.16438356164383,385.9436532546152
55,Haiti,2007,155.83561643835617,464.3252430955135
56,Honduras,2007,268.027397260274,253.2667874397312
57,Hungary,2007,485.75342465753425,354.15323805716326
58,Iceland,2007,81.36986301369863,141.12634320329062
59,India,2007,216.986301369863,270.9421646219572
60,Indonesia,2007,219.45205479452054,347.04466282765816
61,Iraq,2007,348.4109589041096,413.7740889502872
62,Iran,2007,268.7671232876712,301.1808366542893
63,Ireland,2007,384.6575342465753,168.84498235303437
66,Jamaica,2007,336.57534246575347,172.26536050676677
68,Jordan,2007,462.0821917808219,269.8167368821823
70,Kenya,2007,167.67123287671234,252.02669747038703
71,Kuwait,2007,414.986301369863,191.4051859244098
74,Latvia,2007,387.1232876712329,472.598253729648
75,Lebanon,2007,440.6301369863014,289.0136615735704
77,Liberia,2007,420.16438356164383,283.52954155042625
78,Lithuania,2007,239.17808219178085,439.4225865957372
79,Luxembourg,2007,414.24657534246575,168.48892035048007
80,Madagascar,2007,76.68493150684931,435.3030847404296
82,Malaysia,2007,367.39726027397256,285.01797826455106
83,Maldives,2007,80.13698630136986,263.8548906069874
84,Mali,2007,201.45205479452054,283.2040533614312
85,Malta,2007,177.53424657534248,205.75881290370987
86,Mauritania,2007,340.52054794520546,259.1476788445594
87,Mauritius,2007,485.013698630137,277.2374750102627
88,Mexico,2007,258.90410958904107,145.13112829647346
89,Moldova,2007,261.3698630136986,526.3072799986429
91,Montenegro,2007,318.0821917808219,416.7667215438312
92,Morocco,2007,286.027397260274,484.97465657489903
93,Mozambique,2007,179.75342465753425,363.2629325920528
94,Myanmar,2007,176.30136986301372,265.5255233167733
95,Namibia,2007,154.1095890410959,339.2425827192294
96,Nepal,2007,179.5068493150685,248.8648880049972
97,Netherlands,2007,389.5890410958904,138.28963443075648
98,New Zealand,2007,244.1095890410959,160.3082508621062
99,Nicaragua,2007,224.63013698630138,168.38166833719018
100,Niger,2007,102.57534246575342,245.0142354843256
101,Nigeria,2007,355.8082191780822,196.7221889217232
102,Norway,2007,392.05479452054794,151.59641103276647
103,Oman,2007,246.82191780821915,327.17134699898605
104,Pakistan,2007,295.8904109589041,443.8204805413661
105,Panama,2007,188.3835616438356,141.3708665427878
106,Paraguay,2007,337.56164383561645,210.36669892366064
108,Philippines,2007,115.89041095890411,362.4892147949784
109,Poland,2007,276.16438356164383,302.01722544548187
110,Portugal,2007,441.3698630136986,170.16884752619418
111,Romania,2007,325.47945205479454,461.4229710669922
113,Rwanda,2007,72.0,227.76751454492472
114,Saudi Arabia,2007,357.7808219178082,301.03417278689864
115,Senegal,2007,333.3698630136986,247.9594653979736
116,Serbia,2007,226.84931506849315,489.09886236586425
117,Sierra Leone,2007,309.6986301369863,362.08262611270936
118,Slovakia,2007,263.83561643835617,386.93589072118
119,Slovenia,2007,305.75342465753425,202.29243399106647
120,South Africa,2007,308.2191780821918,290.90733928513765
121,South Korea,2007,389.5890410958904,132.43609019757426
124,Suriname,2007,386.8767123287671,278.5970533161105
125,Sweden,2007,401.9178082191781,173.7611567917102
126,Switzerland,2007,453.6986301369863,132.11595756155546
128,Tajikistan,2007,239.17808219178085,435.6082116105049
129,Tanzania,2007,199.72602739726028,227.45123536900056
130,Thailand,2007,187.39726027397262,138.6037365439819
131,Togo,2007,190.1095890410959,310.0720598022291
132,Trinidad and Tobago,2007,282.32876712328766,254.53986666559967
133,Tunisia,2007,429.5342465753425,351.1101880850396
136,Uganda,2007,174.08219178082192,270.04962137725045
138,United Arab Emirates,2007,208.35616438356163,336.04439426822665
139,United Kingdom,2007,414.24657534246575,156.29858252458504
140,Uruguay,2007,236.46575342465752,200.9020874008997
142,Venezuela,2007,367.39726027397256,201.82167851148284
144,Yemen,2007,214.27397260273972,529.1097621851218
145,Zambia,2007,109.47945205479452,270.36488695856315
146,Zimbabwe,2007,220.43835616438355,397.5788799041226
147,World,2007,278.6301369863014,259.8985743857976
149,Albania,2008,155.34246575342465,336.9151425160443
150,Algeria,2008,337.8082191780822,321.7407348770121
151,Angola,2008,212.7945205479452,336.45149025591
152,Argentina,2008,357.5342465753425,208.6275457423506
153,Armenia,2008,175.06849315068496,404.1899270019015
154,Australia,2008,517.8082191780821,128.87124858414043
157,Bahamas,2008,141.78082191780823,239.99590365773585
158,Bangladesh,2008,143.50684931506848,379.737176746476
159,Belarus,2008,382.1917808219178,529.8612341043505
161,Belize,2008,156.08219178082192,196.5092962253721
162,Benin,2008,186.9041095890411,252.73684101521863
163,Bolivia,2008,77.67123287671232,222.5691467794306
164,Bosnia and Herzegovina,2008,192.32876712328766,337.29642860827016
