,Unnamed: 0,Entity,Year,Vegetable Oil,Deaths
0,0,Albania,2007,172.60273972602738,339.92898628267847
1,1,Armenia,2007,182.46575342465752,410.7912114918932
2,2,Austria,2007,542.4657534246576,182.02711135022795
3,3,Azerbaijan,2007,71.5068493150685,632.7240968473106
4,4,Belarus,2007,387.1232876712329,533.5044173085569
5,5,Belgium,2007,540.0,147.7222007107612
6,6,Bosnia and Herzegovina,2007,184.93150684931504,348.324991963952
7,7,Bulgaria,2007,374.7945205479453,512.3670656638686
8,8,Croatia,2007,362.4657534246575,343.21510093857654
9,9,Cyprus,2007,347.9178082191781,208.7955265432377
10,10,Denmark,2007,194.7945205479452,160.0550896812937
11,11,Estonia,2007,207.12328767123287,385.6036770922839
12,12,Finland,2007,266.3013698630137,192.09205489885449
13,13,France,2007,507.94520547945206,112.36684463755904
14,14,Georgia,2007,177.53424657534248,476.826092185462
15,15,Germany,2007,451.2328767123288,176.24897379016062
16,16,Greece,2007,618.9041095890411,229.5958305273864
17,17,Hungary,2007,485.7534246575343,354.15323805716326
18,18,Iceland,2007,81.36986301369863,141.12634320329062
19,19,Ireland,2007,384.6575342465753,168.84498235303437
20,20,Italy,2007,673.1506849315069,141.7096722126945
21,21,Latvia,2007,387.1232876712329,472.598253729648
22,22,Lithuania,2007,239.17808219178085,439.4225865957372
23,23,Luxembourg,2007,414.24657534246575,168.48892035048007
24,24,Malta,2007,177.53424657534248,205.75881290370987
25,25,Moldova,2007,261.3698630136986,526.3072799986429
26,26,Montenegro,2007,318.0821917808219,416.7667215438312
27,27,Norway,2007,392.054794520548,151.59641103276647
28,28,Poland,2007,276.16438356164383,302.01722544548187
29,29,Portugal,2007,441.3698630136986,170.16884752619418
30,30,Romania,2007,325.47945205479454,461.4229710669922
31,31,Russia,2007,298.3561643835617,608.128849950662
32,32,Serbia,2007,226.84931506849315,489.09886236586425
33,33,Slovakia,2007,263.83561643835617,386.93589072118
34,34,Slovenia,2007,305.75342465753425,202.29243399106647
35,35,Spain,2007,660.8219178082192,131.78025489222884
36,36,Sweden,2007,401.9178082191781,173.7611567917102
37,37,Switzerland,2007,453.6986301369863,132.11595756155546
38,38,Turkey,2007,584.3835616438356,187.2455387758337
39,39,Ukraine,2007,345.2054794520548,637.7829105591062
40,40,United Kingdom,2007,414.24657534246575,156.29858252458504
41,41,Albania,2008,155.34246575342465,336.9151425160443
42,42,Armenia,2008,175.06849315068496,404.1899270019015
43,43,Austria,2008,569.5890410958904,176.0832285350273
44,44,Azerbaijan,2008,64.10958904109589,622.4219068811262
45,45,Belarus,2008,382.1917808219178,529.8612341043505
46,46,Belgium,2008,569.5890410958904,144.98724518090384
47,47,Bosnia and Herzegovina,2008,192.3287671232877,337.29642860827016
48,48,Bulgaria,2008,256.43835616438355,492.89069620335295
49,49,Croatia,2008,396.98630136986304,338.34539303825443
50,50,Cyprus,2008,366.4109589041096,194.4084862539983
51,51,Denmark,2008,175.06849315068496,150.32193631860184
52,52,Estonia,2008,207.12328767123287,360.1613371627868
53,53,Finland,2008,253.97260273972603,187.2509215952159
54,54,France,2008,517.8082191780821,110.08266215323516
55,55,Georgia,2008,155.34246575342465,495.7688948361843
56,56,Germany,2008,461.0958904109589,173.19597482667635
57,57,Greece,2008,668.2191780821918,217.2155143243756
58,58,Hungary,2008,485.7534246575343,339.96519100118206
59,59,Iceland,2008,78.9041095890411,137.51068813009874
60,60,Ireland,2008,406.8493150684932,163.9278681496663
61,61,Italy,2008,675.6164383561644,138.91158701009488
62,62,Latvia,2008,323.013698630137,433.770181809098
63,63,Lithuania,2008,204.65753424657527,420.46895671774746
64,64,Luxembourg,2008,404.3835616438356,160.2151267519921
65,65,Malta,2008,293.42465753424653,197.2393367388144
66,66,Moldova,2008,340.2739726027397,510.75644287934784
67,67,Montenegro,2008,357.5342465753425,407.1052385767717
68,68,Norway,2008,448.7671232876712,146.28756384561945
69,69,Poland,2008,293.42465753424653,293.6870979622008
70,70,Portugal,2008,498.0821917808219,162.34638818931404
71,71,Romania,2008,310.6849315068493,452.8350290694332
72,72,Russia,2008,298.3561643835617,601.3385510298949
73,73,Serbia,2008,239.17808219178085,488.83351373145126
74,74,Slovakia,2008,263.83561643835617,370.3929000804301
75,75,Slovenia,2008,327.94520547945206,194.97938512187844
76,76,Spain,2008,687.945205479452,127.09848649809032
77,77,Sweden,2008,404.3835616438356,169.22016813544658
78,78,Switzerland,2008,485.7534246575343,127.29239880076474
79,79,Turkey,2008,552.3287671232877,183.64041082781267
80,80,Ukraine,2008,360.0,637.6527371683462
81,81,United Kingdom,2008,451.2328767123288,151.14597493141633
82,82,Albania,2009,172.60273972602738,328.2437002196052
83,83,Armenia,2009,175.06849315068496,396.2587896301043
84,84,Austria,2009,579.4520547945206,174.68304982972668
85,85,Azerbaijan,2009,46.84931506849316,611.7261451536234
86,86,Belarus,2009,323.013698630137,532.6357129117062
87,87,Belgium,2009,579.4520547945206,140.4508045327241
88,88,Bosnia and Herzegovina,2009,167.67123287671234,344.75819386746696
89,89,Bulgaria,2009,396.98630136986304,477.9615584543789
90,90,Croatia,2009,335.3424657534247,317.58064471928014
91,91,Cyprus,2009,429.041095890411,183.14943937825623
92,92,Denmark,2009,209.5890410958904,145.31910365002764
93,93,Estonia,2009,189.8630136986301,343.5088511152311
94,94,Finland,2009,253.97260273972603,182.74110063556583
95,95,France,2009,530.1369863013699,107.88848726539804
96,96,Georgia,2009,263.83561643835617,512.6866724256065
97,97,Germany,2009,446.3013698630137,169.85368389564567
98,98,Greece,2009,646.027397260274,206.82605351623803
99,99,Hungary,2009,461.0958904109589,338.9602148230384
100,100,Iceland,2009,157.8082191780822,135.2060372383906
101,101,Ireland,2009,387.1232876712329,159.69529849415386
102,102,Italy,2009,658.3561643835616,136.28766050068896
103,103,Latvia,2009,396.98630136986304,413.4436220228812
104,104,Lithuania,2009,199.72602739726028,385.0979022334524
105,105,Luxembourg,2009,347.67123287671234,155.28547683690658
106,106,Malta,2009,290.958904109589,190.0209138202684
107,107,Moldova,2009,350.1369863013699,511.2774254280736
108,108,Montenegro,2009,318.0821917808219,389.0179386808626
109,109,Norway,2009,382.1917808219178,141.44253492888168
110,110,Poland,2009,320.54794520547944,284.98295846801125
111,111,Portugal,2009,500.5479452054794,155.40663329122572
112,112,Romania,2009,315.6164383561644,448.9593755586096
113,113,Russia,2009,305.75342465753425,566.1767462053145
114,114,Serbia,2009,239.17808219178085,487.7498613143708
115,115,Slovakia,2009,295.8904109589041,360.8355642332507
116,116,Slovenia,2009,325.47945205479454,188.61061613777
117,117,Spain,2009,739.7260273972602,120.0596993695238
118,118,Sweden,2009,404.3835616438356,164.1539851370374
119,119,Switzerland,2009,483.28767123287673,125.2900090843136
120,120,Turkey,2009,576.986301369863,188.18046114303945
121,121,Ukraine,2009,357.5342465753425,587.0582640239768
122,122,United Kingdom,2009,451.2328767123288,142.04075144983247
